node,label,type,community
hoshimachi_suisei,Hoshimachi Suisei,vtuber,0
hololive_production,Hololive Production,agency,13
inonaka_music,INoNaKa Music,music_label,0
next_color_planet,Next Color Planet,music_release,0
ghost,Ghost,music_release,0
still_still_stellar,Still Still Stellar,music_release,0
budokan,Budokan,,0
comet,Comet,music_release,0
tenkyū_suisei_wa_yoru_o_mataide,"Tenkyū, Suisei wa Yoru o Mataide",music_release,0
azki,AZKi,vtuber,0
cover_corp,Cover Corp.,company,1
toyosu_pit,Toyosu PIT,location,2
hololive_1st_fes_nonstop_story,Hololive 1st fes. Nonstop Story,event,0
bluerose__comet,Bluerose / Comet,music_release,0
kakero__tenkyū_suisei_wa_yoru_o_mataide,"Kakero / Tenkyū, Suisei wa Yoru o Mataide",music_release,0
jibun_katte_dazzling__bye_bye_rainy,Jibun Katte Dazzling / Bye Bye Rainy,music_release,0
stellar_into_the_galaxy,STELLAR into the GALAXY,event,0
inui_toko,Inui Toko,vtuber,0
midnight_grand_orchestra,Midnight Grand Orchestra,music_group,3
taku_inoue,Taku Inoue,person,3
toys_factory,Toy's Factory,company,3
sos,SOS,music_release,3
the_first_take,The First Take,channel,0
stellar_stellar,Stellar Stellar,music_release,0
specter,Specter,music_release,0
shout_in_crisis,Shout in Crisis,event,0
bibbidiba,Bibbidiba,music_release,0
spectra_of_nova,Spectra of Nova,,4
hoshimatic_project,Hoshimatic Project,music_group,4
kaf,KAF,vtuber,4
shiranui_constructions,Shiranui Constructions,music_group,4
udagawachō,Udagawachō,location,0
shibuya,Shibuya,location,5
countdown_japan_2425,Countdown Japan 24/25,event,6
zutomayo,Zutomayo,music_artist,6
sumika,Sumika,music_artist,6
youtube_fanfest_2024,YouTube Fanfest 2024,,7
hajime_syacho,Hajime Syacho,youtuber,7
hikakin,Hikakin,youtuber,7
nippon_budokan,Nippon Budokan,location,0
forbes_japan,Forbes Japan,organization,0
hololive_presents_hoshimachi_suiseis_music_space,Hololive presents Hoshimachi Suisei's MUSIC SPACE,radio_program,0
nippon_cultural_broadcasting,Nippon Cultural Broadcasting,company,8
encouraging_japan_with_music,Encouraging Japan with Music!,radio_program,9
mokota_mememe,Mokota Mememe,vtuber,9
hanabasami_kyō,Hanabasami Kyō,vtuber,9
hoshimachi_suisei__tadokoro_azusas_parallel_scramble,Hoshimachi Suisei & Tadokoro Azusa's Parallel Scramble,radio_program,0
azusa_tadokoro,Azusa Tadokoro,person,0
school_of_lock_music_line,SCHOOL OF LOCK! Music Line,radio_program,0
vr_vtuber_music_radio,VR! ~VTuber Music Radio~,radio_program,0
usada_pekora,Usada Pekora,vtuber,13
hololive_fantasy,hololive Fantasy,group,10
uruha_rushia,Uruha Rushia,vtuber,10
houshou_marine,Houshou Marine,vtuber,10
shiranui_flare,Shiranui Flare,vtuber,10
shirogane_noel,Shirogane Noel,vtuber,10
yuuki_hagure,Yuuki Hagure,person,13
rariemonn,rariemonn,person,13
momoko_tsugunaga,Momoko Tsugunaga,idol,13
berryz_kobo,Berryz Kobo,group,11
dragon_quest_treasures,Dragon Quest Treasures,game,12
pekotte,Pekotte,character,13
human_rabbitality_project,Human Rabbitality Project,project,13
zenjinrui_usagika_keikaku,Zenjinrui Usagika Keikaku!,single,13
milky,Milky,brand,13
bandai,Bandai,company,13
1st_usada_pekolive__usagi_the_megami_,1st Usada PekoLive -USAGI the MEGAMI!!-,solo live concert,13
ariake_arena,Ariake Arena,location,14
idol_showdown,Idol Showdown,game,13
death_stranding_2_on_the_beach,Death Stranding 2: On the Beach,game,13
