node,label,type,community
vtuber,vtuber,vtuber,4
innk_music,INNK Music,agency,4
game,game,game,4
tenkyu_suisei_wa_yoru_o_koede,tenkyu_suisei_wa_yoru_o_koede,music_release,4
nonstop_story,Nonstop Story,Hololive's 1st fest,4
inugami_korone,Inugami Korone,vtuber,4
hololive,Hololive,agency,2
animal_crossing,Animal Crossing,game,4
ころねの最凶天災わんだふぉーわーるど,ころねの最凶天災わんだふぉーわーるど,music_release,4
nekomata_okayu,Nekomata Okayu,vtuber,1
gegege_no_kitaro_snes_game,Gegege no Kitaro SNES game,game,5
beyond_the_stage,Beyond the Stage,live event,2
link_your_wish,Link Your Wish,fes,6
yo_kai_watch_punipuni,Yo-kai Watch PuniPuni,game,1
watame,Watame,vtuber,7
miko,Miko,vtuber,8
botan,Botan,vtuber,9
fubuki,Fubuki,vtuber,10
pekora,Pekora,vtuber,11
marine,Marine,vtuber,12
hololive_gamers,Hololive GAMERS,agency,1
もぐもぐyummy,もぐもぐYUMMY!,music_release,1
shiny_smily_story,Shiny Smily Story,music_release,3
ぽいずにゃしんどろーむ,ぽいずにゃ～しんどろーむ,music_release,1
holo27_originals_vol1,holo*27 Originals Vol.1,music_release,1
hololive_summer_2022,hololive Summer 2022,3D swimsuit outfit debut,1
poisonya_syndrome,POISONYA SYNDROME,1st sololive,1
おかゆにゅむokayunyumu,おかゆにゅ～～む！~Okayunyumu~,game,1
personya_respect,PERSONYA RESPECT,2nd Sololive,1
ookami_mio,ookami_mio,vtuber,3
minecraft,minecraft,game,3
howling,howling,music_release,3
night_walk,night_walk,music_release,3
bouquet,bouquet,music_release,3
shirakami_fubuki,shirakami_fubuki,vtuber,0
nakiri_ayame,nakiri_ayame,vtuber,3
hakui_koyori,hakui_koyori,vtuber,3
our_sparkle,our_sparkle,sololive concert,2
my_sparkle,my_sparkle,music_release,3
fortnite_battle_royale,Fortnite Battle Royale,game,0
sayファンファーレ,Say!ファンファーレ!,music_release,0
fbkbp2019,FBKBP2019,birthday party event,0
shirakami_cafe_music,Shirakami Cafe Music,music_release,0
幻想郷ホロイズム_gensokyoholoism,#幻想郷ホロイズム (#GENSOKYOholoism),music_release,0
もっふもふ_de_よいのじゃよ_moffumoffu_de_yoi_no_ja_yo,もっふもふ DE よいのじゃよ (Moffumoffu DE Yoi no Ja yo),music_release,0
クックパッドおすすめレシピ,クックパッドおすすめレシピ,music_release,0
朝が来て,朝が来て,music_release,0
香りのやる気スイッチ,香りのやる気スイッチ！,music_release,0
223_am,2:23 AM,music_release,0
apex_legends,APEX Legends,game,0
phasmophobia,Phasmophobia,game,0
kurokami,Kurokami,vtuber,0
usada_pekora,Usada Pekora,vtuber,2
ぺこらんだむぶれいん,ぺこらんだむぶれいん!,music_release,2
ぺこみこ大戦争,ぺこみこ大戦争！！,music_release,2
幻想郷ホロイズム,#幻想郷ホロイズム,music_release,2
bloom,Bloom,event,2
pekora_24,Pekora 24,event,2
_usagi_the_megami_,-Usagi The MegaMi!!-,event,2
