node,degree,betweenness,eigenvector
4kscore,0.0007042253521126761,0.0,0.004029800772880292
abcb11,0.0007042253521126761,0.0,0.0050537278536274596
abdominal,0.0007042253521126761,0.0,0.006430701504619977
abl1,0.0007042253521126761,0.0,0.002269797273343241
ablation therapy,0.0014084507042253522,0.00016856262083865336,0.018300419896745464
acetaldehyde,0.0007042253521126761,0.0,0.004704644658611858
acetaminophen,0.0007042253521126761,0.0,0.012149754176402055
achalasia,0.0007042253521126761,0.0,0.005235354154379834
achlorhydria,0.0007042253521126761,0.0,0.000629153496978863
acinar cell carcinoma,0.0014084507042253522,0.0005184308393497782,0.012990304423706469
acoustic neuroma,0.0028169014084507044,0.002155658836829252,0.024642789160690945
acquired immunodeficiency syndrome,0.0014084507042253522,2.284439551178265e-06,0.007212641256691031
acral lentiginous melanoma,0.0007042253521126761,0.0,0.004918263154213256
acth-secreting pituitary adenoma,0.0007042253521126761,0.0,0.0014078937842114567
actinomycin f1,0.0007042253521126761,0.0,0.0027587070791363255
acute biphenotypic leukemia,0.0007042253521126761,0.0,0.004414104271321332
acute lymphoblastic leukemia,0.0014084507042253522,6.203561488825367e-05,0.010905636551649202
acute megakaryoblastic leukemia,0.0007042253521126761,0.0,0.004414104271321332
acute myeloid leukemia,0.0014084507042253522,6.203561488825367e-05,0.010905636551649202
acute promyelocytic leukemia,0.0007042253521126761,0.0,0.004414104271321332
acvr2a,0.0007042253521126761,0.0,0.012245444712183593
adenocarcinoma,0.007746478873239437,0.005025908205481078,0.06761564140309581
adenocarcinoma cell,0.0007042253521126761,0.0,0.010847827445847367
adenofibroma,0.0007042253521126761,0.0,1.2859672183125828e-05
adenoid cystic carcinoma,0.004225352112676056,0.004424174927205301,0.008167640458387379
adenosarcoma,0.0007042253521126761,0.0,0.002223155650020673
adenosquamous carcinoma,0.0028169014084507044,0.0016517884019204953,0.032099349826966043
adjuvant chemotherapy,0.002112676056338028,0.0003280747259762891,0.0033859450033648223
adjuvant radiotherapy,0.002112676056338028,0.00047510151266219835,0.005005391603477782
adjuvant therapy,0.0007042253521126761,0.0,0.006150665720343407
adrenal cortical myxoid carcinoma,0.0007042253521126761,0.0,0.001666283248571813
adrenal cortical oncocytic carcinoma,0.0007042253521126761,0.0,0.001666283248571813
adrenal gland cancer,0.004225352112676056,0.00718668465221581,0.05394264976365924
adrenal gland pheochromocytoma,0.0007042253521126761,0.0,0.0018241351006737208
adrenocortical carcinoma,0.019014084507042252,0.020399623480358845,0.027510770198641687
adult fibrosarcoma,0.0007042253521126761,0.0,0.0007708918580062546
adult granulosa cell tumor,0.0007042253521126761,0.0,3.2420727538347924e-05
adult t-cell leukemia/lymphoma,0.0014084507042253522,0.0009909925821216115,0.0046220912097461216
advanced pancreatic neuroendocrine tumor,0.0007042253521126761,0.0,0.006003492246884667
afatinib,0.0014084507042253522,0.00021409234135372484,0.015331649297561124
african american,0.0007042253521126761,0.0,0.004029800772880292
age between 80 and 85 years,0.0014084507042253522,0.00010912121915891793,0.005015151900332098
age greater than 85 years,0.0007042253521126761,0.0,0.009823913016296308
aging,0.0007042253521126761,0.0,0.004872416685425959
ahcy,0.0007042253521126761,0.0,0.0047976442305136665
aicardi syndrome,0.0007042253521126761,0.0,0.000604069726822213
aip,0.0007042253521126761,0.0,0.0014078937842114567
akt1,0.0028169014084507044,0.006208128662935747,0.008741227028509189
alcohol consumption,0.005633802816901409,0.002735928264990863,0.04847753266880341
alcohol dehydrogenases,0.0007042253521126761,0.0,0.009823913016296308
alcohol use disorder,0.0007042253521126761,0.0,0.0050537278536274596
alcoholic liver disease,0.0014084507042253522,5.801643344672911e-05,0.011204393573970867
alectinib,0.0007042253521126761,0.0,0.012149754176402055
alk,0.002112676056338028,0.0007352905081183398,0.021865661561128978
alk gene mutation,0.0007042253521126761,0.0,0.012149754176402055
allogeneic hematopoietic stem cell transplantation,0.0014084507042253522,2.7604233868013793e-05,0.014528557674908167
allogeneic stem cell transplantation,0.0014084507042253522,0.00047897832510215225,0.0025207423588247133
allopurinol,0.0007042253521126761,0.0,0.00025094508548147235
alpha 1-antitrypsin deficiency,0.0007042253521126761,0.0,0.0050537278536274596
alpha-1 antitrypsin deficiency,0.0014084507042253522,0.0002901199990930563,0.01786901460191142
