node,degree,betweenness,eigenvector
ability_ahri_charm,0.025,0.0,0.17053526602071012
ability_ahri_fox_fire,0.025,0.0,0.17053526602071012
ability_ahri_orb_of_deception,0.025,0.0,0.17053526602071012
ability_ahri_spirit_rush,0.025,0.0,0.17053526602071012
ability_garen_e_judgment,0.025,0.0,0.0
ability_garen_q_decisive_strike,0.025,0.0,0.0
ability_garen_r_demacian_justice,0.025,0.0,0.0
ability_garen_w_courage,0.025,0.0,0.0
ability_jinx_e_flame_chompers,0.025,0.0,0.0
ability_jinx_q_switcheroo,0.025,0.0,0.0
ability_jinx_r_super_mega_death_rocket,0.025,0.0,0.0
ability_jinx_w_zap,0.025,0.0,0.0
ability_thresh_e_flay,0.025,0.0,0.0
ability_thresh_q_death_sentence,0.025,0.0,0.0
ability_thresh_r_the_box,0.025,0.0,0.0
ability_thresh_w_dark_passage,0.025,0.0,0.0
ability_yasuo_e_sweeping_blade,0.025,0.0,0.17053526602071012
ability_yasuo_q_steel_tempest,0.025,0.0,0.17053526602071012
ability_yasuo_r_last_breath,0.025,0.0,0.17053526602071012
ability_yasuo_w_wind_wall,0.025,0.0,0.17053526602071012
champion_ahri,0.175,0.057692307692307696,0.5444484151548965
champion_caitlyn,0.025,0.0,0.0
champion_ekko,0.025,0.0,0.0
champion_garen,0.2,0.05064102564102564,0.0
champion_jinx,0.225,0.046153846153846156,0.0
champion_katarina,0.075,0.021794871794871794,0.0
champion_lucian,0.025,0.0,0.0
champion_lux,0.075,0.000641025641025641,0.0
champion_riven,0.025,0.0,0.17053526602071012
champion_senna,0.025,0.0,0.0
champion_syndra,0.025,0.0,0.17053526602071012
champion_thresh,0.15,0.019230769230769232,0.0
champion_vi,0.025,0.0,0.0
champion_yasuo,0.175,0.057692307692307696,0.5444484151548965
champion_yone,0.05,0.0,0.3410704867078057
faction_dauntless_vanguard,0.05,0.0,0.0
faction_noxian_empire,0.025,0.0,0.0
region_demacia,0.05,0.0,0.0
region_noxus,0.025,0.0,0.0
region_piltover,0.025,0.0,0.0
region_zaun,0.025,0.0,0.0
